#META,,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,,
60,shaun,,아니면 잠시 뒤돌아보기도 하죠. <b>오늘 하루가 어땠는지. 이번달은 어떻게 지내왔는지.</b>,61,FALSE,,,,
61,shaun,,정신없이 달려오다 잠시 쉬어가는 곳이 바로 펍이랍니다.,62,FALSE,,,,
62,sally,,"그럼, 이번에는 네 얘기나 해보지그래",63,FALSE,,,,
63,e12,,저는… 특별히 이야기 같은게 없습니다.,64,FALSE,,,,
64,e12,,"저는 평범합니다. 특별히 이야기도 없어요. 그냥 <b>평범한 경찰</b> 그 이상도, 그 이하도 아닙니다.",65,FALSE,,,,
65,sally,,"평범하긴, 그 어린 나이에 경찰씩이나 되어서는 이상할 정도로 투철한 경찰정신까지",66,FALSE,,,,
66,e12,,그런게 정말 궁금하십니까?,67,FALSE,,,,
67,f72,,"나도 궁금한걸. 우리 엘리트 신참의 숨겨진 과거라니, 오늘 밤 안주로 아주 딱이잖아?",68,FALSE,,,,
68,e12,,선배님 덕분에 머리가 지끈거리는 군요. 이래서 술을 마시는 걸까요.,69,FALSE,,,,
69,e12,,바텐더씨. 저번보단… 덜 쓴걸로 부탁해도 될까요?,70,FALSE,,,,
70,shaun,,"물론이죠. 저번보다 달콤하고, 얼음 있는 걸로 괜찮으실까요?",71,FALSE,,,,
71,e12,,딱 제게 필요한 거군요.,72,FALSE,,,,
72,,,,,TRUE,sc4_e12,72-1-1,72-2-1,
72-1-1,e12,,저번보다 훨씬 괜찮군요. 이정도면 왜 술을 마시는지 알것 같습니다.,72-1-2,FALSE,,,,
72-1-2,f72,,"이제야 좀 말이 통하는 군, 신참!",72-1-3,FALSE,,,,
72-1-3,e12,,…그렇다고 선배님처럼 떙땡이칠 마음은 없습니다.,73,FALSE,,,,
72-2-1,e12,,음… 저번이랑 크게 달라진것 같진 않습니다.,72-2-2,FALSE,,,,
72-2-2,e12,,상관 없습니다. 셀리씨 말대로 <b>술은 술</b>이니까요.,72-2-3,FALSE,,,,
72-2-3,f72,,"뭐야, 셀리. 꽤나 오글거리는 말도 했었군.",72-2-4,FALSE,,,,
72-2-4,sally,,"음, 당신은 좀 닥쳐주면 좋겠어.",73,FALSE,,,,
73,f72,,헤- 너무 쌀쌀맞게 굴지 말아달라고.,74,FALSE,,,,
74,f72,,그나저나 이야기나 마저 하지. 우리 신참의 <b>특별한</b> 배경 이야기가 어떻게 될까나?,75,FALSE,,,,
75,e12,,저는… 제 아버지께서 <b>범죄자</b>였습니다.,76,FALSE,,,,
76,f72,,<b>아. 이런.</b>,77,FALSE,,,,
77,e12,,"매일같이 마약을 하고, 술을 퍼마시곤 강도질이나 해가며 연명하셨죠.",78,FALSE,,,,
78,e12,,"지금에서야 자세히 알 수는 없지만, 분명 아무개들과도 연관이 있었을 겁니다.",79,FALSE,,,,
79,sally,,"사정은 딱하지만, 그건 어떻게 확신하는데?",80,FALSE,,,,
80,e12,,아버지는 <b>동전</b>을 쓰셨으니까요.,81,FALSE,,,,
81,sally,,. . .,82,FALSE,,,,
82,e12,,그래서 <b>혐오합니다.</b>,83,FALSE,,,,
83,e12,,당신같은 <b>범죄자</b>들 때문에 지금도 얼마나 많은 사람들이 고통받고 있을지 생각하면 치가 떨립니다.,84,FALSE,,,,
84,e12,,그래서 경찰이 됐습니다. 온갖 조롱과 역경을 견뎌가며 공부하고 노력했습니다.,85,FALSE,,,,
85,e12,,"시스템의 완벽한 톱니바퀴가 되면, 내 몸에 흐르는 <b>그 더러운 피</b>도 씻겨 내려갈 줄 알았습니다.",86,FALSE,,,,
86,e12,,"범죄자는 절대악이고, 소각되어 마땅한 쓰레기라고 굳게 믿어야만 내가 버틸 수 있었으니까요.",87,FALSE,,,,
87,shaun,,12님…,88,FALSE,,,,
88,e12,,죄송합니다. 이렇게 분위기를 어둡게 만들 마음은 없었는데…,89,FALSE,,,,
89,sally,,"그래서, 그 대단한 톱니바퀴가 되니까 마음이 좀 편해졌어?",90,FALSE,,,,
90,sally,,쓰레기들을 치우면 네 과거도 같이 타버린 것 같았냐고.,91,FALSE,,,,
91,f72,,"셀리, 너무 몰아붙이지 마. 그런 의도 아닌거 알잖아.",92,FALSE,,,,
92,e12,,"그런데 당신의 이야기를 듣고 나니, 내가 평생을 바쳐 맹신하던 시스템이 대체 뭔가 싶어졌습니다.",93,FALSE,,,,
93,e12,,그런데 이제는 <b>당신 때문에</b> 누구의 탓도 못한겠단 말입니다!,94,FALSE,,,,
94,e12,,범죄자도 사람이라고 인정해버리면… 제 모든 삶이 부정당하는 것 같단 말입니다.,95,FALSE,,,,
95,sally,,무서운 거잖아. 그렇지?,96,FALSE,,,,
96,sally,,"네가 혐오하는 우리처럼, 너도 결국 <b>불량품</b>이 될까 봐. 안 그래?",97,FALSE,,,,
97,e12,,저는… 나는 <b>불량품</b>이 아닙니다.,98,FALSE,,,,
98,sally,,그래. 너는 <b>불량품</b>이 아니야. 애초에 너는 부품이 아니라 사람이니까.,99,FALSE,,,,
99,e12,,저는 평범해지기 위해 한 평생을 바쳤단말입니다!,100,FALSE,,,,
100,sally,,<b>세상에 평범한 사람은 없어</b>. 그렇게 따지면 모두가 불량품인 셈이지.,101,FALSE,,,,
101,f72,,셀리 말이 맞아. 나 봐라. 경찰 배지 달고서 매일 땡땡이나 치잖아. 완벽한 사람 따위는 없어.,102,FALSE,,,,
102,sally,,그쪽은 좀 조용히 하고 있어. 그래도 틀린말은 아니야.,103,FALSE,,,,
103,sally,,그러니까 쓸데없이 과거에 얽매여서 제복 뒤에 숨어 벌벌 떨지 마. 보는 내가 다 숨 막히니까.,104,FALSE,,,,
104,e12,,제복을 벗으면 과거의 일들이 자꾸만 생각난단 말입니다. 이 제복이라도 없으면…,105,FALSE,,,,
105,f72,,과거라는 게 참 <b>엿같지</b>.,106,FALSE,,,,
106,f72,,특히 가족이라는 이름으로 묶인 과거 말이야. 다들 그거 하나 제대로 못 털어내서 이 고생들이잖아.,107,FALSE,,,,
107,shaun,,<b>그거 하나</b>라기에는 모두에게 너무 깊은 이야기인걸요.,108,FALSE,,,,
108,shaun,,"E12님은 가족을 지우기 위해 제복을 입으시고,",109,FALSE,,,,
109,shaun,,"셀리씨는 하나뿐인 가족을 위해 모든걸 바치셨고,",111-2-1,FALSE,,,,
111-1-1,shaun,,F72님은 가족에게서 벗어나기 위해서 경찰이 되셨잖아요.,111-1-2,FALSE,,,,
111-1-2,f72,,"하하! 그러고 보면 우리 넷 다 가족 때문에 이 모양 이 꼴로 살고 있네. 안 그래, 바텐더?",112,FALSE,,,,
111-2-1,shaun,,F72님은…,111-2-2,FALSE,,,,
111-2-2,f72,,나? 난 그 숨 막히는 가족이 역겨워서 내 발로 도망쳐 나왔잖아. 말 안했던가?,111-2-3,FALSE,,,,
111-2-3,sally,,아무렴요. 낭인주제에 경찰이 된걸 보면 그쪽도 한 사정 있겠다고 생각은 했어.,111-2-4,FALSE,,,,
111-2-4,e12,,선배님도 가족이 있으셨습니까?,111-2-5,FALSE,,,,
111-2-5,sally,,세상에 가족 없는 사람이 어딨어? 다들 모른 척하고 사는 거지.,112,FALSE,,,,
112,shaun,,듣고 보니 그렇군요. 저도 가족에 대한 상실감에서 온전히 벗어나지 못하고 있으니까요.,113,FALSE,,,,
113,sally,,저번에 바텐더는 아버지가 남긴 이 펍을 지키는 게 세상을 버티는 방식이라고 했었지.,114,FALSE,,,,
114,shaun,,맞습니다. 하지만 단순히 이 공간만을 지키려는 건 아닙니다.,115,FALSE,,,,
115,shaun,,저는… 곧 고향으로 떠나려 합니다. 모든 인간들의 고향으로요.,116,FALSE,,,,
116,shaun,,시간이 많이 흘렀지만 분명 먼 가족들의 흔적이 있을거라고 믿고있어요.,117,FALSE,,,,
117,f72,,고향? 설마... 지구를 말하는 거야?,118,FALSE,,,,
118,shaun,,"네. 가본 적도 없는 행성이 왜 그리운지 모르겠습니다만, 아버지께서 남긴 레시피의 끝에는 항상 지구가 있었어요.",119,FALSE,,,,
119,shaun,,제 목표는 이 섹터 0를 떠나 지구로 가는 겁니다.,120,FALSE,,,,
120,sally,,지구라. 실존하는지 모로는 그 죽은 행성?,121,FALSE,,,,
121,sally,,"하, 바텐더. 너도 진짜 제정신이 아니네.",122,FALSE,,,,
122,sally,,무슨 계획이라도 있는거야? 인간들은 섹터0을 못나가잖아. 여긴 유배지라고.,123,FALSE,,,,
123,shaun,,모든 인간이 나가지 못하는건 아닙니다. 연합 공식 사업 허가증을 받거나…,124,FALSE,,,,
124,sally,,받거나?,125,FALSE,,,,
125,shaun,,다른 방법들은 적법한 방법이 아니라 말씀드릴 순 없습니다..,126,FALSE,,,,
126,sally,,"훗, 이제와서 새삼스럽긴. 밀항이거나 신분증 위조 정도겠지?",127,FALSE,,,,
127,e12,,연합의 허가 없는 행성 간 이동은 명백한 중범죄입니다만...,128,FALSE,,,,
128,e12,,저라면 연합의 허가를 받아드릴 수 있습니다.,129,FALSE,,,,
129,shaun,,네? 12님까지 말려들게 하는 건…,130,FALSE,,,,
130,e12,,걱정하지 마십시오.,131,FALSE,,,,
131,f72,,"오, 우리 엘리트 신참이 벌써부터 권력 남용을 배우는 거야?",132,FALSE,,,,
132,e12,,최고에게 배웠으니까요.,133,FALSE,,,,
133,e12,,그러니 말씀만 하십시오. 바텐더씨. 이정도는 보답하고 싶습니다.,,FALSE,,,,
134-1-1,shaun,,"그럼, 거절하지 않겠습니다.",134-1-2,FALSE,,,,
134-1-2,sally,,"괜찮겠어, 바텐더? 이건 동전 정도랑 수준이 다르다고.",134-1-3,FALSE,,,,
134-1-3,shaun,,그정도 각오는 언제든지 되어있답니다.,134-1-4,FALSE,,,,
134-1-4,shaun,,그리고 저번과 달리 이제는 혼자가 아닌 것 같네요.,134-1-5,FALSE,,,,
134-1-5,f72,,그래! 이번엔 우리가 있잖아!,134-1-6,FALSE,,,,
134-1-6,f72,,밀항루트나 감시의 사각지대를 찾는 거라면 이 몸이 전문가니까. 언제든 말만 하라고.,134-1-7,FALSE,,,,
134-1-7,e12,,선배님…,134-1-8,FALSE,,,,
134-1-8,sally,,경찰 두 놈이 나란히 범죄를 돕겠다니. 코미디가 따로 없군.,134-1-9,FALSE,,,,
134-1-9,sally,,"나야 해줄 수 있는 건 없지만, 그 무모한 목적지에 도착할 때까지 행운을 빌어주지. 바텐더.",135,FALSE,,,,
134-2-1,shaun,,저의 무모한 여정에 여러분들을 끌어들일 순 없습니다.,134-2-2,FALSE,,,,
134-2-2,e12,,…이해합니다. 당신이라면 그렇게 대답할 줄 알았습니다. 하지만 마음이 바뀌면 언제든 말씀하십시오.,134-2-3,FALSE,,,,
134-2-3,shaun,,하지만 마음만큼은 감사히 받겠습니다.,134-2-4,FALSE,,,,
134-2-4,shaun,,"비록 각자 걷는 길은 다를지라도, 오늘 밤 세 분의 이야기들은 제 여정에 큰 응원이 될 테니까요.",134-2-5,FALSE,,,,
134-2-5,f72,,크- 고집 한번 엄청나네! 좋아! 그정도 고집은 있어야지 지구에 가지!,134-2-6,FALSE,,,,
134-2-6,sally,,"나야 해줄 수 있는 건 없지만, 그 무모한 목적지에 도착할 때까지 행운을 빌어주지. 바텐더",135,FALSE,,,,
135,shaun,,"세 분 모두, 진심으로 감사합니다.",136,FALSE,,,,
136,shaun,,"비록 삐걱거리는 이야기들이었지만, 제게는 오늘 밤이 어떤 시간보다 값진 밤이었습니다.",137,FALSE,,,,
137,f72,,그럼 오늘 밤은 이쯤에서 해산해 볼까.,138,FALSE,,,,
138,f72,,"이 좁은 펍에서 낭인, 아무개들, 그리고 엘리트 신참까지 모여서 술잔을 기울이다니,",139,FALSE,,,,
139,f72,,내일 아침에 깨면 개꿈이라고 생각할지도 모르겠네.,140,FALSE,,,,
140,sally,,꿈치고는 너무 선명했지.,141,FALSE,,,,
141,e12,,"저도 이만 복귀하겠습니다. 바텐더씨, 그리고 선배님과 셀리님도... 평안한 밤 되시길.",142,FALSE,,,,
142,f72,,오! 우리 깐깐한 신참이 범죄자한테 평안한 밤을 다 빌어주고! 내일 연합 뉴스 1면 감이잖아 이거.,143,FALSE,,,,
143,e12,,"선배님, 제발 좀 가시죠.",144,FALSE,,,,
144,shaun,,모두 안녕히 가십시오.,145,FALSE,,,,
145,shaun,,"섹터0를 떠나는 그날까지, 슬런챠의 문은 언제나 열려있습니다.",,FALSE,,,,
,,,,,,,,,
,,,,,,,,,
nodeId,characterKey,expressionKey,slotIndex,,,,,,
0,f72,frust,0,,,,,,
0,sally,mid,1,,,,,,
1,f72,frust,0,,,,,,
1,sally,angry,1,,,,,,
2,f72,frust,0,,,,,,
2,sally,angry,1,,,,,,
3,f72,frust,0,,,,,,
3,sally,angry,1,,,,,,
4,f72,frust,0,,,,,,
4,sally,mid,1,,,,,,
5,f72,frust,0,,,,,,
5,sally,mid,1,,,,,,
6,f72,laugh,0,,,,,,
6,sally,mid,1,,,,,,
7,f72,laugh,0,,,,,,
7,sally,mid,1,,,,,,
8,f72,laugh,0,,,,,,
8,sally,mid,1,,,,,,
9,f72,laugh,0,,,,,,
9,sally,mid,1,,,,,,
10,f72,laugh,0,,,,,,
10,sally,smile,1,,,,,,
11,f72,smile,0,,,,,,
11,sally,smile,1,,,,,,
12,f72,smile,0,,,,,,
12,sally,angry,1,,,,,,
13,f72,smile,0,,,,,,
13,sally,angry,1,,,,,,
14,f72,smile,0,,,,,,
14,sally,angry,1,,,,,,
15,f72,smile,0,,,,,,
15,sally,smile,1,,,,,,
16,f72,smile,0,,,,,,
16,sally,smile,1,,,,,,
17,f72,laugh,0,,,,,,
17,sally,smile,1,,,,,,
18,f72,laugh,0,,,,,,
18,sally,smile,1,,,,,,
19,f72,smile,0,,,,,,
19,sally,smile,1,,,,,,
20,f72,smile,0,,,,,,
20,sally,smile,1,,,,,,
21,f72,smile,0,,,,,,
21,sally,smile,1,,,,,,
21-1-1,f72,laugh,0,,,,,,
21-1-1,sally,smile,1,,,,,,
21-2-1,f72,frust,0,,,,,,
21-2-1,sally,smile,1,,,,,,
21-2-2,f72,frust,0,,,,,,
21-2-2,sally,smile,1,,,,,,
21-2-3,f72,frust,0,,,,,,
21-2-3,sally,angry,1,,,,,,
21-2-4,f72,frust,0,,,,,,
21-2-4,sally,angry,1,,,,,,
22-1-1,f72,smile,0,,,,,,
22-1-1,sally,mid,1,,,,,,
22-1-2,f72,smile,0,,,,,,
22-1-2,sally,mid,1,,,,,,
22-1-3,f72,smile,0,,,,,,
22-1-3,sally,mid,1,,,,,,
22-1-4,f72,smile,0,,,,,,
22-1-4,sally,angry,1,,,,,,
22-1-5,f72,smile,0,,,,,,
22-1-5,sally,angry,1,,,,,,
22-2-1,f72,mid,0,,,,,,
22-2-1,sally,mid,1,,,,,,
22-2-2,f72,mid,0,,,,,,
22-2-2,sally,mid,1,,,,,,
22-2-3,f72,mid,0,,,,,,
22-2-3,sally,mid,1,,,,,,
22-2-4,f72,annoy,0,,,,,,
22-2-4,sally,mid,1,,,,,,
22-2-5,f72,annoy,0,,,,,,
22-2-5,sally,closed,1,,,,,,
22-2-6,f72,frust,0,,,,,,
22-2-6,sally,closed,1,,,,,,
23,f72,mid,0,,,,,,
23,sally,mid,1,,,,,,
24,f72,mid,0,,,,,,
24,sally,mid,1,,,,,,
25,f72,mid,0,,,,,,
25,sally,mid,1,,,,,,
26,f72,mid,0,,,,,,
26,sally,mid,1,,,,,,
27,f72,mid,0,,,,,,
27,sally,mid,1,,,,,,
27-1-1,f72,mid,0,,,,,,
27-1-1,sally,smile,1,,,,,,
27-1-2,f72,mid,0,,,,,,
27-1-2,sally,smile,1,,,,,,
27-2-1,f72,mid,0,,,,,,
27-2-1,sally,mid,1,,,,,,
27-2-2,f72,mid,0,,,,,,
27-2-2,sally,smile,1,,,,,,
28,f72,smile,0,,,,,,
28,sally,mid,1,,,,,,
29,f72,smile,0,,,,,,
29,sally,angry,1,,,,,,
30,f72,laugh,0,,,,,,
30,sally,angry,1,,,,,,
31,f72,laugh,0,,,,,,
31,sally,angry,1,,,,,,
32,f72,laugh,0,,,,,,
32,sally,angry,1,,,,,,
32,e12,mid,2,,,,,,
33,f72,laugh,0,,,,,,
33,sally,angry,1,,,,,,
33,e12,mid,2,,,,,,
34,f72,frust,0,,,,,,
34,sally,mid,1,,,,,,
34,e12,mid,2,,,,,,
35,f72,frust,0,,,,,,
35,sally,mid,1,,,,,,
35,e12,mid,2,,,,,,
36,f72,frust,0,,,,,,
36,sally,mid,1,,,,,,
36,e12,mid,2,,,,,,
37,f72,frust,0,,,,,,
37,sally,mid,1,,,,,,
37,e12,mid,2,,,,,,
38,f72,frust,0,,,,,,
38,sally,mid,1,,,,,,
38,e12,mid,2,,,,,,
39,f72,frust,0,,,,,,
39,sally,mid,1,,,,,,
39,e12,mid,2,,,,,,
40,f72,laugh,0,,,,,,
40,sally,mid,1,,,,,,
40,e12,mid,2,,,,,,
41,f72,laugh,0,,,,,,
41,sally,mid,1,,,,,,
41,e12,mid,2,,,,,,
42,f72,laugh,0,,,,,,
42,sally,mid,1,,,,,,
42,e12,frust,2,,,,,,
43,f72,laugh,0,,,,,,
43,sally,smile,1,,,,,,
43,e12,frust,2,,,,,,
44,f72,laugh,0,,,,,,
44,sally,smile,1,,,,,,
44,e12,frust,2,,,,,,
45,f72,laugh,0,,,,,,
45,sally,smile,1,,,,,,
45,e12,frust,2,,,,,,
46,f72,devas,0,,,,,,
46,sally,smile,1,,,,,,
46,e12,frust,2,,,,,,
47,f72,devas,0,,,,,,
47,sally,smile,1,,,,,,
47,e12,frust,2,,,,,,
48,f72,devas,0,,,,,,
48,sally,smile,1,,,,,,
48,e12,frust,2,,,,,,
49,f72,frust,0,,,,,,
49,sally,smile,1,,,,,,
49,e12,serious,2,,,,,,
50,f72,frust,0,,,,,,
50,sally,smile,1,,,,,,
50,e12,serious,2,,,,,,
51,f72,frust,0,,,,,,
51,sally,smile,1,,,,,,
51,e12,serious,2,,,,,,
52,f72,frust,0,,,,,,
52,sally,smile,1,,,,,,
52,e12,serious,2,,,,,,
53,f72,frust,0,,,,,,
53,sally,smile,1,,,,,,
53,e12,serious,2,,,,,,
54,f72,frust,0,,,,,,
54,sally,smile,1,,,,,,
54,e12,serious,2,,,,,,
55,f72,frust,0,,,,,,
55,sally,smile,1,,,,,,
55,e12,angry,2,,,,,,
56,f72,frust,0,,,,,,
56,sally,smile,1,,,,,,
56,e12,mid,2,,,,,,
57,f72,frust,0,,,,,,
57,sally,smile,1,,,,,,
57,e12,mid,2,,,,,,
58,f72,frust,0,,,,,,
58,sally,smile,1,,,,,,
58,e12,mid,2,,,,,,
59,f72,smile,0,,,,,,
59,sally,smile,1,,,,,,
59,e12,mid,2,,,,,,
60,f72,smile,0,,,,,,
60,sally,smile,1,,,,,,
60,e12,mid,2,,,,,,
61,f72,smile,0,,,,,,
61,sally,smile,1,,,,,,
61,e12,mid,2,,,,,,
62,f72,smile,0,,,,,,
62,sally,smile,1,,,,,,
62,e12,mid,2,,,,,,
63,f72,smile,0,,,,,,
63,sally,smile,1,,,,,,
63,e12,mid,2,,,,,,
64,f72,smile,0,,,,,,
64,sally,smile,1,,,,,,
64,e12,mid,2,,,,,,
65,f72,smile,0,,,,,,
65,sally,smile,1,,,,,,
65,e12,mid,2,,,,,,
66,f72,smile,0,,,,,,
66,sally,smile,1,,,,,,
66,e12,serious,2,,,,,,
67,f72,laugh,0,,,,,,
